_id,id,department,name,street,no,zip,city,lat,lng
265,3768,MBU,Børnehuset Elmehøj,Elmehøjvej,4,8270,Højbjerg,56.102902,10.21764
266,3770,MBU,Lille Rygaard,Elverdalsvej,46,8270,Højbjerg,56.1128181,10.1984128
267,3776,MBU,Børnehaven,Hjulbjergvej,127,8270,Højbjerg,56.112719,10.183824
268,3799,MBU,Lyseng Fritidsklub,Lysengvej,4A,8270,Højbjerg,56.112755,10.191287
269,3819,MBU,Kræmmerhuset,Olaf Rudesvej,20,8270,Højbjerg,56.118174,10.1954144
270,3825,MBU,Vuggestue,Rundhøj Alle,65,8270,Højbjerg,56.120261,10.175932
271,3828,MBU,Børnegården Rundhøj (SDT),Rundhøj Alle,2,8270,Højbjerg,56.119954,10.181778
272,3835,MBU,Kridthøj Fritidshjem,Saralyst Alle,56,8270,Højbjerg,56.116618,10.19049
273,3837,MBU,Integreret Institution,Stennehøj Alle,202A,8270,Højbjerg,56.107618,10.202127
274,3838,MBU,DII Børnehuset,Stenvej,101,8270,Højbjerg,56.1073208,10.2031499
275,3850,MBU,Legehuset Regnbuen,Børupvej,2,8310,Tranbjerg J,56.094806,10.129698
276,3860,MBU,Børnehuset Tranely,Kirketorvet,10,8310,Tranbjerg J,56.0904937,10.1371262
277,3870,MBU,Børnehaven,Laurbærvænget,4,8310,Tranbjerg J,56.0895027,10.1428685
278,3871,MBU,Integreret Institution,Skovgårdsvænget,600,8310,Tranbjerg J,56.090568,10.122422
279,3873,MBU,Børnehuset Hoppeloppen,Torvevænget,5A,8310,Tranbjerg J,56.093949,10.137935
280,3878,MBU,Smilehullet,Østerby Alle,348A,8310,Tranbjerg J,56.091349,10.140141
281,3879,MBU,Integreret Institution,Torvevænget,5B,8310,Tranbjerg J,56.094206,10.138296
282,3882,MBU,DII Valnødden,Banevej,2,8320,Mårslet,56.0680669,10.1628623
283,3885,MBU,Dagtilbud Valhalla,Bedervej,86,8320,Mårslet,56.063196,10.165393
284,3891,MBU,Solhuset,Hørretvej,14A,8320,Mårslet,56.067625,10.16543
285,3892,MBU,Græsbakken,Hørretvej,14B,8320,Mårslet,56.067964,10.165714
286,3901,MBU,Legepladsen Mårslet,Testrupvej,1,8320,Mårslet,56.067884,10.158917
287,3903,MBU,Mårslet Skovbørnehave,Testrupvej,8,8320,Mårslet,56.0681396,10.1540163
288,3904,MBU,Fritidshjemmet Asgården,Testrupvej,8B,8320,Mårslet,56.068334,10.154063
289,3908,MBU,Bekkasinen,Byagervej,162,8330,Beder,56.053944,10.212564
290,3913,MBU,Børnehuset Amaliegården,Byagervej,98,8330,Beder,56.055367,10.204917
291,3918,MBU,Legepladsen Svendgård,Byvej,9,8330,Beder,56.058163,10.207541
292,3932,MBU,Dagtilbud Grønnebakken,Præstetoften,1,8330,Beder,56.060956,10.2191352
293,3935,MSO,Malling Plejehjem,Starupvej,9,8340,Malling,56.03561,10.1950458
294,3942,MBU,Børnehaven Ajstrup Gl. Skole,Ajstrup Strandvej,1,8340,Malling,56.039638,10.2380549
295,3943,MBU,Børnehuset Ajstrupvej,Ajstrupvej,47,8340,Malling,56.0383965,10.1999752
296,3948,MBU,Børnehuset Østerskov,Mallinggårdsvej,6,8340,Malling,56.0426337,10.2062023
297,3956,MBU,Børnehuset,Tværgade,3,8340,Malling,56.0378124,10.1967488
298,3958,MBU,Integreret Institution,Eghovedvej,1,8340,Malling,56.042616,10.197569
299,3960,MBU,Mariehønen,Bøgevangen,101,8355,Solbjerg,56.041222,10.089
300,3962,MBU,Børnehuset,Bøgevangen,99,8355,Solbjerg,56.0412398,10.0889675
301,3969,MBU,Kærgården,Kærgårdsvej,14-16,8355,Solbjerg,56.039898,10.086456
302,3970,MBU,Fritidshjemmet,Kærgårdsvej,16,8355,Solbjerg,56.039465,10.086636
303,3971,MBU,Spiren,Kærgårdsvej,39,8355,Solbjerg,56.039325,10.088269
304,3978,MBU,Integreret Institution,Bavnebakken,111,8361,Hasselager,56.110115,10.082757
305,3989,MBU,Højen,Kolt Østervej,49,8361,Hasselager,56.1101676,10.0777954
306,3990,MBU,Troldehøjen,Kolt Østervej,51,8361,Hasselager,56.110712,10.078223
307,3991,MBU,Labyrinten,Kolt Østervej,53,8361,Hasselager,56.111297,10.07811
308,3992,MBU,Fritidshjem - Naturligvis,Koltvej,49,8361,Hasselager,56.10748,10.090144
309,3994,MBU,Kolt Fritidsklub,Kunnerupvej,176,8361,Hasselager,56.109935,10.072476
310,3998,MBU,Børnehuset Pilehytten,Pilegårdsvej,89,8361,Hasselager,56.106246,10.076184
311,3999,MBU,Spiloppen,Pilegårdsvej,95,8361,Hasselager,56.106155,10.075249
312,4009,MBU,Lindegården,Pannerupvej,9,8380,Trige,56.256402,10.155487
313,4045,MBU,"Integreret Institution, Tilst",Venøvej,7,8381,Tilst,56.175684,10.112726
314,4050,MBU,Smilehullet,Venøvej,9,8381,Tilst,56.17575,10.113405
315,4053,MSB,Den Grønne Gren,Grønhøjvej,62,8462,Harlev J,56.145488,10.000956
316,4057,MBU,Klub Midtpunkt,Næshøjvej,20,8462,Harlev J,56.14526,9.9936589
317,4058,MBU,DII Regnbuen,Næshøjvej,22,8462,Harlev J,56.14524,9.992806
318,4059,MBU,Kompasset,Rødlundvænget,37,8462,Harlev J,56.143057,9.985974
319,4068,MBU,Den Integrerede Institution Børnehuset Søsterhøj,Elmehøjvej,2,8270,Højbjerg,56.103034,10.216937
320,4085,MBU,Elstedgård,Elstedhøj,14A,8520,Lystrup,56.241525,10.232556
321,4086,MBU,Børnehaven Hasselhøj,Elstedhøj,22A,8520,Lystrup,56.238511,10.232976
322,4087,MBU,Minihøj,Elstedhøj,22B,8520,Lystrup,56.23823,10.233144
323,4090,MBU,Hasselhaven,Hasselhaven,1,8520,Lystrup,56.2406678,10.237553
324,4093,MBU,"Krokodillehaven, Elev",Koldkilde,9,8520,Lystrup,56.241114,10.1966249
325,4094,MBU,Hurlumhejhuset,Lille Elstedvej,135,8520,Lystrup,56.233289,10.222176
326,4095,MBU,Møllehuset,Lille Elstedvej,189,8520,Lystrup,56.235503,10.218246
327,4097,MBU,Lystruplund,Lystruplund,36,8520,Lystrup,56.2290798,10.2328453
328,4109,MBU,"Ørnereden , Børnehave",Ørnedalen,2,8520,Lystrup,56.2406465,10.225407
329,4110,MBU,"Ørnedalen, Vuggestuen",Ørnedalen,4,8520,Lystrup,56.240756,10.225819
330,4118,MBU,Solsikken,Kankbøllevej,12,8530,Hjortshøj,56.2456083,10.2711479
331,4123,MBU,DII Spiren,Skovager,1,8530,Hjortshøj,56.245726,10.2738692
332,4131,MBU,Engskovgård,Engskovgård,2,8541,Skødstrup,56.260007,10.30788
333,4142,MBU,Bakkehuset,Kløvervangen,68,8541,Skødstrup,56.262516,10.299215
334,4145,MBU,Myrhøjen,Ny Studstrupvej,3A,8541,Skødstrup,56.267039,10.310768
335,4146,MBU,Børnehuset Myrhøjen,Ny Studstrupvej,3B,8541,Skødstrup,56.267506,10.310833
336,4147,MBU,Væksthuset,Ny Studstrupvej,3C,8541,Skødstrup,56.267788,10.311359
337,4154,MBU,Studsen,Studstrupvej,11A,8541,Skødstrup,56.257278,10.334633
338,4169,MBU,Børnehuset,Jægergårdsgade,70,8000,Århus C,56.147542,10.201023
339,4188,MBU,Legepladsen Skanseanlægget,Strandvejen,38,8000,Århus C,56.145536,10.207737
340,4213,MBU,Vuggestuen Charlottehøj,Paludan Mullers Vej,185,8200,Århus N,56.179428,10.174261
341,4222,MBU,Børnehaven Charlottehøj,Bornholmsvej,9,8210,Århus V,56.1770086,10.1756655
342,4244,MBU,"Vuggestuen Kloden, pavillion",Gudrunsvej,66B,8220,Brabrand,56.155951,10.13761
343,4245,MBU,Vuggestuen Janesvej,Janesvej,29A,8220,Brabrand,56.16563,10.134418
344,4246,MBU,Integreret Institution Børnesnak,Louisevej,35A,8220,Brabrand,56.148874,10.138222
345,4251,MBU,Vuggestuen Ved Æbletræet,Gammelgårdsvej,24A,8230,Åbyhøj,56.157086,10.157624
346,4283,MBU,Vuggestuen Anemonen,Grøfthøjparken,147,8260,Viby J,56.122944,10.135043
347,4295,MBU,Legepladsen Vidtskuevej,Vidtskuevej,25,8260,Viby J,56.1279935,10.1771144
348,4297,MBU,Børnehaven Store Rygaard,Elverdalsvej,46,8270,Højbjerg,56.1128181,10.1984128
349,4299,MBU,Vuggestuen Lyseng,Hjulbjergvej,121,8270,Højbjerg,56.112626,10.1848417
350,4318,MBU,Børnehuset Mirabellen,Borrevænget,28,8320,Mårslet,56.070464,10.164504
351,4325,MBU,Vuggestuen Bymosen,Byagervej,164,8330,Beder,56.05361,10.212778
352,4326,MBU,Beder Fritidsklub,Kirkebakken,41,8330,Beder,56.060383,10.215753
353,4338,MBU,Børnehaven Rødlundvænget,Rødlundvænget,35,8462,Harlev J,56.142772,9.986755
354,4340,MBU,Børnehaven Næshøj,Sydbakken,6,8462,Harlev J,56.142111,9.998583
355,4351,MBU,Børnegården Bifrost,Østergårdtoften,1,8530,Hjortshøj,56.250632,10.2688096
356,4355,MBU,Vuggestuen Kløvervangen,Kløvervangen,64,8541,Skødstrup,56.262823,10.2990872
357,4375,MBU,DII Skødstrup,Stationsvangen,10,8541,Skødstrup,56.2620568,10.3045596
358,4452,MBU,DII Børneslottet,Albert Naursvej,19-23,8270,Højbjerg,56.1158134,10.20101
359,4755,MBU,Idrætsbørnehaven,Gudrunsvej,3B,8220,Brabrand,56.158681,10.141619
360,4926,MSO,Plejeboligerne Augustenborggade,Augustenborggade,25,8000,Århus C,56.143856,10.179791
361,4945,MSB,Skansen,Strandvejen,36,8000,Århus C,56.1457887,10.2084618
362,4955,MSB,Sølyst,Nordre Strandvej,155,8240,Risskov,56.2024178,10.265996
363,4960,MSB,Rejsecafeen,Museumsgade,2,8000,Århus C,56.1564943,10.1988909
364,4970,MSB,Rådgivningscafeen Aros,Grønnegade,80,8000,Århus C,56.160756,10.2001345
365,4975,MSB,Aktivitetscenter Bøgeskovgård,Bøgeskov Høvej,5,8260,Viby J,56.118497,10.132017
366,4984,MSB,Turbo,Korsagervej,15,8230,Åbyhøj,56.146745,10.1622869
367,4986,MSO,Demenscentrum Århus,Kannikegade,18,8000,Århus C,56.155422,10.211219
368,4997,MSB,Ungdomsstøtte Center,Alstrup Alle,3,8361,Hasselager,56.1048823,10.0956201
369,5017,MSB,Haslekollegiet,Provstebakken,30,8210,Århus V,56.163026,10.1642119
370,5035,MBU,DII Grøften,Grøfthøjparken,2,8260,Viby J,56.122389,10.141622
371,5046,MBU,Børnehaven Malmøgade,Malmøgade,10,8200,Århus N,56.1801828,10.1965009
372,5074,MBU,Institutionen Skæring Parkvej,Skæring Parkvej,544,8250,Egå,56.23707,10.303355
373,5096,MBU,Tryllefløjten,Vistoftvej,36B,8471,Sabro,56.211847,10.03872
374,5104,MBU,"Rosengården, Dagtilbud 1205, 1206 og 1207",Rosenstien,2,8000,Århus C,56.157105,10.187765
375,5154,MBU,Lindegården Vuggestuen,Pannerupvej,7,8380,Trige,56.256253,10.15516
376,5157,MBU,Fritidshjemmet Sabro Skolevej,Sabro Skolevej,2,8471,Sabro,56.211442,10.022634
377,5158,MBU,DII Tumlehuset,Observatorievejen,1,8000,Århus C,56.127671,10.193164
378,5159,MBU,Hårup Børnegård,Salonikivej,26,8530,Hjortshøj,56.286973,10.214325
379,5162,MBU,Todbjerg Børnehus,Bøggildsvej,22,8530,Hjortshøj,56.2694427,10.2108959
380,5166,MBU,Vuggestuen Godthåb,Elsted Byvej,36,8520,Lystrup,56.244139,10.23172
381,5167,MBU,Vuggestuen,Dr. Holsts Vej,52,8230,Åbyhøj,56.160203,10.145158
382,5171,MBU,Klub2teket,Kappelvænget,52,8210,Århus V,56.180041,10.1626809
383,5217,MBU,Mårslet Fritidsklub,Testrupvej,6,8320,Mårslet,56.068166,10.156612
384,5257,MBU,Legepladsen Sabro,Vistoftvej,30,8471,Sabro,56.210858,10.0388059
385,5344,MBU,Dagplejehuset,Grankoglevej,10,8541,Skødstrup,56.2761743,10.3136088
386,5347,MBU,Dagtilbud 108,Falstersgade,35,8000,Århus C,56.163782,10.1997016
387,5350,MBU,Dagtilbud 108,Langelandsgade,62,8000,Århus C,56.163436,10.198443
388,5402,MBU,Børnehuset Moltkesvej,Moltkesvej,2,8260,Viby J,56.121165,10.14958
389,5431,MKB,Århus Svømmestadion,F. Vestergaards Gade,5,8000,Århus C,56.143829,10.196658
